"invoice_no","Revenue"
"I884632","5401.53"
"I252507","5401.53"
"I125627","5401.53"
"I290993","9602.72"
"I335541","5401.53"
"I152217","9602.72"
"I110630","9602.72"
"I163839","5401.53"
"I171864","9602.72"
"I597591","5401.53"
"I314907","9602.72"
"I291725","15004.25"
"I199887","9602.72"
"I279301","15004.25"
"I167371","15004.25"
"I165675","5401.53"
"I236755","9602.72"
"I263074","5401.53"
"I109218","9602.72"
"I324423","15004.25"
"I304851","5401.53"
"I243732","15004.25"
"I144218","15004.25"
"I846225","5401.53"
"I271849","5401.53"
"I111426","15004.25"
"I128722","9602.72"
"I593416","15004.25"
"I123432","5401.53"
"I250556","15004.25"
"I162170","9602.72"
"I275774","5401.53"
"I226957","9602.72"
"I598369","15004.25"
"I353662","5401.53"
"I124576","9602.72"
"I121631","15004.25"
"I282606","5401.53"
"I291530","15004.25"
"I333167","9602.72"
"I236230","9602.72"
"I259576","9602.72"
"I243907","15004.25"
"I350049","5401.53"
"I263892","9602.72"
"I548500","9602.72"
"I273464","5401.53"
"I289392","9602.72"
"I143457","9602.72"
"I260268","9602.72"
"I238119","5401.53"
"I254123","9602.72"
"I100897","9602.72"
"I439223","5401.53"
"I267744","9602.72"
"I319110","15004.25"
"I328635","5401.53"
"I167850","15004.25"
"I854893","9602.72"
"I141519","9602.72"
"I163294","15004.25"
"I181373","9602.72"
"I229530","5401.53"
"I158547","9602.72"
"I131184","15004.25"
"I153677","15004.25"
"I268558","5401.53"
"I286877","15004.25"
"I605718","5401.53"
"I724358","15004.25"
"I264939","15004.25"
"I269022","9602.72"
"I141017","5401.53"
"I218416","5401.53"
"I223652","9602.72"
"I141069","9602.72"
"I213299","9602.72"
"I162742","15004.25"
"I126731","5401.53"
"I153634","15004.25"
"I238464","5401.53"
"I308263","5401.53"
"I336944","15004.25"
"I152586","5401.53"
"I178513","9602.72"
"I851939","5401.53"
"I964266","15004.25"
"I115301","15004.25"
"I185164","5401.53"
"I233609","9602.72"
"I191815","5401.53"
"I139342","15004.25"
"I300597","15004.25"
"I200500","9602.72"
"I134826","9602.72"
"I153556","15004.25"
"I385587","15004.25"
"I313739","5401.53"
"I174480","15004.25"
"I385064","9602.72"
"I328197","5401.53"
"I219251","15004.25"
"I240532","5401.53"
"I176013","15004.25"
"I110133","15004.25"
"I323802","5401.53"
"I309493","15004.25"
"I255143","15004.25"
"I279851","15004.25"
"I816971","5401.53"
"I799294","9602.72"
"I222703","5401.53"
"I216616","5401.53"
"I133403","9602.72"
"I813046","5401.53"
"I293142","15004.25"
"I251452","15004.25"
"I182652","5401.53"
"I243262","5401.53"
"I192856","9602.72"
"I250786","9602.72"
"I160222","15004.25"
"I277830","5401.53"
"I125576","9602.72"
"I711107","9602.72"
"I261172","15004.25"
"I537776","15004.25"
"I228566","9602.72"
"I897591","9602.72"
"I330018","15004.25"
"I845199","9602.72"
"I289228","5401.53"
"I186487","5401.53"
"I120030","15004.25"
"I312797","15004.25"
"I176961","15004.25"
"I770501","9602.72"
"I244608","5401.53"
"I118539","15004.25"
"I184800","5401.53"
"I167014","5401.53"
"I209822","5401.53"
"I185792","5401.53"
"I238484","15004.25"
"I235246","9602.72"
"I294326","9602.72"
"I109024","5401.53"
"I110863","15004.25"
"I657367","5401.53"
"I217342","15004.25"
"I321015","9602.72"
"I327790","5401.53"
"I305940","5401.53"
"I259556","5401.53"
"I141268","5401.53"
"I219862","15004.25"
"I316656","5401.53"
"I673113","5401.53"
"I224248","9602.72"
"I292465","9602.72"
"I669473","9602.72"
"I276169","9602.72"
"I557417","15004.25"
"I371788","5401.53"
"I299645","9602.72"
"I331878","15004.25"
"I146662","9602.72"
"I107329","9602.72"
"I229055","9602.72"
"I140043","15004.25"
"I132459","9602.72"
"I132429","15004.25"
"I466322","15004.25"
"I330031","15004.25"
"I446590","9602.72"
"I312108","9602.72"
"I285349","15004.25"
"I181481","5401.53"
"I707253","15004.25"
"I569760","5401.53"
"I258021","9602.72"
"I122072","15004.25"
"I807123","15004.25"
"I238017","15004.25"
"I260979","15004.25"
"I228402","5401.53"
"I424695","15004.25"
"I274965","15004.25"
"I189686","9602.72"
"I436240","5401.53"
"I329869","15004.25"
"I172806","15004.25"
"I233253","5401.53"
"I203215","5401.53"
"I219753","5401.53"
"I882442","9602.72"
"I408973","5401.53"
"I195585","15004.25"
"I942284","5401.53"
"I221242","9602.72"
"I112471","5401.53"
"I328226","5401.53"
"I229066","5401.53"
"I191597","9602.72"
"I164217","5401.53"
"I759933","9602.72"
"I213873","5401.53"
"I411184","9602.72"
"I228882","15004.25"
"I114827","9602.72"
"I107805","9602.72"
"I321103","9602.72"
"I324578","5401.53"
"I104769","5401.53"
"I151346","5401.53"
"I242403","5401.53"
"I239155","9602.72"
"I449060","9602.72"
"I156402","5401.53"
"I173532","15004.25"
"I206387","15004.25"
"I251118","9602.72"
"I279942","15004.25"
"I256048","15004.25"
"I254609","9602.72"
"I314354","5401.53"
"I268477","15004.25"
"I190845","5401.53"
"I310514","5401.53"
"I180923","9602.72"
"I686681","9602.72"
"I132751","15004.25"
"I143372","5401.53"
"I950912","15004.25"
"I313988","15004.25"
"I246170","5401.53"
"I354638","15004.25"
"I218666","15004.25"
"I153705","5401.53"
"I262448","5401.53"
"I302280","9602.72"
"I100223","15004.25"
"I110183","9602.72"
"I317719","5401.53"
"I260114","5401.53"
"I234713","9602.72"
"I283631","5401.53"
"I226394","15004.25"
"I243483","5401.53"
"I896013","15004.25"
"I108378","9602.72"
"I257498","5401.53"
"I114573","15004.25"
"I227297","15004.25"
"I199775","15004.25"
"I111867","9602.72"
"I232339","15004.25"
"I177647","9602.72"
"I580806","9602.72"
"I312282","5401.53"
"I791906","9602.72"
"I305903","15004.25"
"I237433","15004.25"
"I144259","15004.25"
"I223552","5401.53"
"I190672","15004.25"
"I170743","5401.53"
"I309681","15004.25"
"I126100","9602.72"
"I207870","9602.72"
"I185402","5401.53"
"I987120","15004.25"
"I211556","5401.53"
"I166177","15004.25"
"I102990","15004.25"
"I199562","9602.72"
"I269344","9602.72"
"I182483","15004.25"
"I133215","5401.53"
"I349230","5401.53"
"I284806","15004.25"
"I832553","9602.72"
"I211261","5401.53"
"I806397","5401.53"
"I331409","9602.72"
"I487178","9602.72"
"I260553","15004.25"
"I135899","5401.53"
"I463821","9602.72"
"I229957","5401.53"
"I329435","15004.25"
"I314468","5401.53"
"I297542","15004.25"
"I433134","15004.25"
"I759283","5401.53"
"I219045","5401.53"
"I261634","5401.53"
"I960037","9602.72"
"I196659","15004.25"
"I100215","5401.53"
"I131688","9602.72"
"I112057","15004.25"
"I142286","9602.72"
"I758949","15004.25"
"I108038","9602.72"
"I393737","9602.72"
"I167641","15004.25"
"I292384","5401.53"
"I239753","9602.72"
"I168438","9602.72"
"I204929","5401.53"
"I663300","15004.25"
"I330987","9602.72"
"I329514","5401.53"
"I957885","15004.25"
"I247040","15004.25"
"I284345","15004.25"
"I330674","9602.72"
"I117306","9602.72"
"I152370","5401.53"
"I308427","15004.25"
"I104663","9602.72"
"I336755","5401.53"
"I221804","9602.72"
"I968519","9602.72"
"I242496","5401.53"
"I208751","5401.53"
"I773075","15004.25"
"I114871","9602.72"
"I146154","5401.53"
"I163274","5401.53"
"I155954","9602.72"
"I483830","15004.25"
"I175427","9602.72"
"I708222","15004.25"
"I478102","5401.53"
"I210193","5401.53"
"I133257","5401.53"
"I222861","15004.25"
"I756748","15004.25"
"I586051","5401.53"
"I115042","9602.72"
"I685758","15004.25"
"I349832","5401.53"
"I271125","5401.53"
"I323282","15004.25"
"I435727","15004.25"
"I254105","5401.53"
"I343140","9602.72"
"I489901","5401.53"
"I122470","5401.53"
"I199660","9602.72"
"I320369","15004.25"
"I257199","9602.72"
"I270765","15004.25"
"I292020","9602.72"
"I201499","5401.53"
"I117980","9602.72"
"I202921","5401.53"
"I125995","5401.53"
"I299001","5401.53"
"I732537","15004.25"
"I256298","15004.25"
"I146983","9602.72"
"I188369","5401.53"
"I731414","15004.25"
"I212744","5401.53"
"I121999","5401.53"
"I115131","5401.53"
"I269184","9602.72"
"I630533","5401.53"
"I240230","9602.72"
"I109097","9602.72"
"I153656","9602.72"
"I195025","15004.25"
"I324851","5401.53"
"I212776","9602.72"
"I101344","9602.72"
"I177116","9602.72"
"I182990","9602.72"
"I300497","15004.25"
"I599784","5401.53"
"I101103","9602.72"
"I162351","15004.25"
"I335701","15004.25"
"I338031","5401.53"
"I173130","15004.25"
"I144865","9602.72"
"I300836","15004.25"
"I978152","5401.53"
"I423311","15004.25"
"I656331","5401.53"
"I189835","9602.72"
"I719785","15004.25"
"I552532","9602.72"
"I310673","15004.25"
"I274828","15004.25"
"I199748","5401.53"
"I251688","15004.25"
"I257005","15004.25"
"I175096","9602.72"
"I131856","15004.25"
"I648044","15004.25"
"I234488","9602.72"
"I270433","9602.72"
"I132779","9602.72"
"I234095","9602.72"
"I182329","9602.72"
"I251523","5401.53"
"I291520","15004.25"
"I285251","5401.53"
"I317369","5401.53"
"I204453","15004.25"
"I131331","9602.72"
"I245239","5401.53"
"I280966","15004.25"
"I283142","5401.53"
"I835598","15004.25"
"I319881","15004.25"
"I839580","9602.72"
"I877973","15004.25"
"I226939","5401.53"
"I203297","15004.25"
"I218025","5401.53"
"I181924","5401.53"
"I222735","5401.53"
"I253522","5401.53"
"I199329","9602.72"
"I255006","9602.72"
"I130114","9602.72"
"I325823","9602.72"
"I157564","5401.53"
"I178722","5401.53"
"I242183","15004.25"
"I218944","9602.72"
"I329608","9602.72"
"I256237","5401.53"
"I305244","15004.25"
"I200505","5401.53"
"I267840","15004.25"
"I276595","15004.25"
"I355141","5401.53"
"I979576","15004.25"
"I215335","5401.53"
"I128136","5401.53"
"I766455","9602.72"
"I189320","15004.25"
"I321120","15004.25"
"I398435","15004.25"
"I138180","5401.53"
"I320402","5401.53"
"I144145","9602.72"
"I114381","15004.25"
"I195740","9602.72"
"I939957","5401.53"
"I238634","5401.53"
"I414836","5401.53"
"I272427","9602.72"
"I560080","15004.25"
"I211497","9602.72"
"I314263","5401.53"
"I270480","9602.72"
"I110521","15004.25"
"I189459","9602.72"
"I131772","5401.53"
"I171332","15004.25"
"I176965","5401.53"
"I224051","5401.53"
"I959126","5401.53"
"I217132","9602.72"
"I166236","9602.72"
"I227996","5401.53"
"I219100","5401.53"
"I388638","5401.53"
"I157383","9602.72"
"I240363","9602.72"
"I252356","9602.72"
"I236398","15004.25"
"I149756","15004.25"
"I187049","15004.25"
"I939342","9602.72"
"I607378","15004.25"
"I147753","5401.53"
"I100146","9602.72"
"I232631","15004.25"
"I903947","15004.25"
"I329281","15004.25"
"I239540","15004.25"
"I863922","5401.53"
"I275832","15004.25"
"I164548","5401.53"
"I100090","9602.72"
"I106436","9602.72"
"I255302","5401.53"
"I188344","9602.72"
"I236130","9602.72"
"I695563","5401.53"
"I291927","9602.72"
"I741047","15004.25"
"I204746","15004.25"
"I199096","9602.72"
"I178919","9602.72"
"I461915","9602.72"
"I255619","9602.72"
"I265254","15004.25"
"I229148","15004.25"
"I236493","15004.25"
"I186641","5401.53"
"I226883","9602.72"
"I309663","15004.25"
"I195797","9602.72"
"I696188","5401.53"
"I320250","5401.53"
"I255038","5401.53"
"I884938","5401.53"
"I193609","9602.72"
"I256679","9602.72"
"I174032","5401.53"
"I278649","5401.53"
"I228698","5401.53"
"I237079","5401.53"
"I283894","15004.25"
"I209462","5401.53"
"I433402","9602.72"
"I117339","15004.25"
"I216976","5401.53"
"I303925","9602.72"
"I149222","15004.25"
"I250496","9602.72"
"I593306","9602.72"
"I105334","9602.72"
"I304200","9602.72"
"I212821","5401.53"
"I338457","5401.53"
"I216933","5401.53"
"I575970","9602.72"
"I338225","15004.25"
"I226604","15004.25"
"I103746","5401.53"
"I153195","5401.53"
"I254485","9602.72"
"I293073","9602.72"
"I190139","9602.72"
"I150446","15004.25"
"I121345","9602.72"
"I242860","5401.53"
"I790555","9602.72"
"I313638","5401.53"
"I260223","5401.53"
"I346342","9602.72"
"I318915","5401.53"
"I936084","9602.72"
"I800272","15004.25"
"I658459","9602.72"
"I718908","15004.25"
"I105311","9602.72"
"I624887","9602.72"
"I324302","9602.72"
"I972246","15004.25"
"I479426","15004.25"
"I360989","5401.53"
"I273516","15004.25"
"I804074","15004.25"
"I308803","5401.53"
"I240898","5401.53"
"I110269","15004.25"
"I984197","15004.25"
"I190735","9602.72"
"I309290","9602.72"
"I134425","5401.53"
"I248407","9602.72"
"I149051","5401.53"
"I213331","9602.72"
"I225088","15004.25"
"I135151","5401.53"
"I148156","5401.53"
"I268213","15004.25"
"I535657","5401.53"
"I102470","15004.25"
"I163405","5401.53"
"I901666","9602.72"
"I158535","9602.72"
"I308617","9602.72"
"I306483","5401.53"
"I326161","5401.53"
"I614307","15004.25"
"I337123","9602.72"
"I170433","15004.25"
"I137738","9602.72"
"I249368","9602.72"
"I185276","15004.25"
"I186772","9602.72"
"I727995","15004.25"
"I663873","15004.25"
"I341518","15004.25"
"I233690","15004.25"
"I237473","9602.72"
"I244028","15004.25"
"I252570","9602.72"
"I222216","5401.53"
"I263273","15004.25"
"I305569","5401.53"
"I970057","5401.53"
"I782419","5401.53"
"I191417","9602.72"
"I676269","9602.72"
"I162440","15004.25"
"I167164","15004.25"
"I655961","9602.72"
"I287263","9602.72"
"I213945","15004.25"
"I284079","9602.72"
"I265274","5401.53"
"I133305","9602.72"
"I321766","9602.72"
"I577195","15004.25"
"I216062","15004.25"
"I220269","5401.53"
"I209526","9602.72"
"I128443","9602.72"
"I159306","5401.53"
"I103759","15004.25"
"I486698","9602.72"
"I292279","15004.25"
"I352861","9602.72"
"I309059","9602.72"
"I495553","9602.72"
"I394230","9602.72"
"I147984","5401.53"
"I130717","5401.53"
"I813768","5401.53"
"I145219","5401.53"
"I264494","5401.53"
"I107190","5401.53"
"I217952","9602.72"
"I320207","5401.53"
"I193237","15004.25"
"I176439","5401.53"
"I172430","9602.72"
"I178845","15004.25"
"I178056","5401.53"
"I113925","9602.72"
"I205132","5401.53"
"I199770","15004.25"
"I241162","5401.53"
"I313723","15004.25"
"I271238","9602.72"
"I126936","9602.72"
"I106161","9602.72"
"I259851","15004.25"
"I198042","9602.72"
"I340186","15004.25"
"I105417","5401.53"
"I496390","5401.53"
"I881307","5401.53"
"I614410","15004.25"
"I191430","5401.53"
"I742384","15004.25"
"I185196","9602.72"
"I143452","5401.53"
"I345082","9602.72"
"I672840","5401.53"
"I153961","5401.53"
"I736157","5401.53"
"I120411","9602.72"
"I174352","5401.53"
"I248491","15004.25"
"I192333","9602.72"
"I285186","9602.72"
"I325039","9602.72"
"I247890","15004.25"
"I223790","9602.72"
"I298972","15004.25"
"I141246","9602.72"
"I248048","9602.72"
"I115125","5401.53"
"I794471","15004.25"
"I523875","9602.72"
"I695570","5401.53"
"I984221","9602.72"
"I763557","9602.72"
"I204081","9602.72"
"I424246","5401.53"
"I229948","15004.25"
"I133428","5401.53"
"I363918","5401.53"
"I309155","9602.72"
"I143083","15004.25"
"I223801","15004.25"
"I207444","5401.53"
"I810881","15004.25"
"I454539","9602.72"
"I240272","5401.53"
"I156685","9602.72"
"I191854","15004.25"
"I280662","15004.25"
"I286299","5401.53"
"I205379","5401.53"
"I217474","5401.53"
"I138114","15004.25"
"I307382","15004.25"
"I182178","15004.25"
"I132761","5401.53"
"I433114","15004.25"
"I688557","15004.25"
"I120260","15004.25"
"I244526","5401.53"
"I339280","5401.53"
"I208014","9602.72"
"I131224","5401.53"
"I289940","9602.72"
"I189689","9602.72"
"I224223","5401.53"
"I339499","9602.72"
"I249339","5401.53"
"I263322","5401.53"
"I124571","5401.53"
"I194689","15004.25"
"I625679","15004.25"
"I123376","9602.72"
"I323797","15004.25"
"I257766","9602.72"
"I971900","15004.25"
"I279514","5401.53"
"I170418","15004.25"
"I108832","5401.53"
"I204566","9602.72"
"I335832","9602.72"
"I264747","5401.53"
"I105038","9602.72"
"I111785","15004.25"
"I230260","15004.25"
"I170413","5401.53"
"I231081","5401.53"
"I194942","9602.72"
"I268141","5401.53"
"I469508","5401.53"
"I729121","9602.72"
"I283827","5401.53"
"I307638","5401.53"
"I234246","5401.53"
"I320091","9602.72"
"I686437","15004.25"
"I705065","15004.25"
"I208139","15004.25"
"I332195","9602.72"
"I902387","5401.53"
"I168286","9602.72"
"I230252","5401.53"
"I953115","9602.72"
"I298598","15004.25"
"I154497","9602.72"
"I806979","15004.25"
"I274325","9602.72"
"I324110","5401.53"
"I543854","5401.53"
"I860258","5401.53"
"I228070","9602.72"
"I931953","5401.53"
"I289143","15004.25"
"I278859","5401.53"
"I917955","5401.53"
"I159529","15004.25"
"I331688","9602.72"
"I118861","9602.72"
"I226235","9602.72"
"I926836","5401.53"
"I240999","15004.25"
"I247979","15004.25"
"I759931","9602.72"
"I334234","15004.25"
"I109765","5401.53"
"I232987","5401.53"
"I156202","15004.25"
"I390830","5401.53"
"I202654","15004.25"
"I334690","15004.25"
"I175895","9602.72"
"I169320","5401.53"
"I304634","15004.25"
"I473307","9602.72"
"I127376","15004.25"
"I298687","9602.72"
"I191408","5401.53"
"I335330","5401.53"
"I949604","15004.25"
"I315808","15004.25"
"I318190","15004.25"
"I243312","5401.53"
"I255449","5401.53"
"I176825","5401.53"
"I317545","9602.72"
"I133251","9602.72"
"I407739","9602.72"
"I320826","9602.72"
"I536593","15004.25"
"I152196","15004.25"
"I161387","5401.53"
"I332390","15004.25"
"I295696","9602.72"
"I186748","9602.72"
"I154761","15004.25"
"I250069","15004.25"
"I685432","5401.53"
"I944922","15004.25"
"I191201","5401.53"
"I334170","9602.72"
"I311463","9602.72"
"I136255","5401.53"
"I279855","9602.72"
"I938718","9602.72"
"I203471","5401.53"
"I149547","15004.25"
"I160099","15004.25"
"I299404","5401.53"
"I896961","9602.72"
"I105620","9602.72"
"I742300","5401.53"
"I208893","5401.53"
"I834652","9602.72"
"I933662","9602.72"
"I644130","15004.25"
"I115482","15004.25"
"I609667","5401.53"
"I214058","15004.25"
"I235676","15004.25"
"I329127","9602.72"
"I289152","9602.72"
"I175888","5401.53"
"I234722","15004.25"
"I284461","5401.53"
"I107222","5401.53"
"I175083","9602.72"
"I302617","15004.25"
"I273452","9602.72"
"I253401","15004.25"
"I111618","9602.72"
"I198148","15004.25"
"I247383","9602.72"
"I572490","5401.53"
"I306665","15004.25"
"I267743","9602.72"
"I264790","9602.72"
"I256915","9602.72"
"I270483","9602.72"
"I308025","5401.53"
"I769024","15004.25"
"I254278","5401.53"
"I141875","9602.72"
"I129998","9602.72"
"I963590","5401.53"
"I272274","5401.53"
"I174080","15004.25"
"I180001","15004.25"
"I398226","15004.25"
"I138623","15004.25"
"I159282","9602.72"
"I100913","9602.72"
"I257015","5401.53"
"I315234","15004.25"
"I973475","9602.72"
"I532517","9602.72"
"I110964","9602.72"
"I338944","5401.53"
"I321109","5401.53"
"I108975","5401.53"
"I329385","5401.53"
"I324005","5401.53"
"I142446","15004.25"
"I206113","5401.53"
"I796361","9602.72"
"I276708","5401.53"
"I505223","5401.53"
"I182831","5401.53"
"I163805","9602.72"
"I300501","9602.72"
"I287922","5401.53"
"I863538","15004.25"
"I186645","9602.72"
"I479800","5401.53"
"I833488","5401.53"
"I283413","5401.53"
"I195702","5401.53"
"I329293","9602.72"
"I703879","5401.53"
"I234270","15004.25"
"I149007","9602.72"
"I872153","5401.53"
"I190992","15004.25"
"I206058","9602.72"
"I887137","5401.53"
"I147836","9602.72"
"I214839","9602.72"
"I291637","5401.53"
"I266151","5401.53"
"I928261","9602.72"
"I126087","5401.53"
"I985191","15004.25"
"I268505","5401.53"
"I214448","5401.53"
"I148843","9602.72"
"I225137","5401.53"
"I290591","9602.72"
"I456872","15004.25"
"I213954","5401.53"
"I107139","9602.72"
"I115012","15004.25"
"I207916","5401.53"
"I737273","9602.72"
"I336440","9602.72"
"I297135","5401.53"
"I183601","5401.53"
"I181032","15004.25"
"I219305","5401.53"
"I730026","9602.72"
"I233364","15004.25"
"I300391","5401.53"
"I277241","9602.72"
"I102344","5401.53"
"I378618","15004.25"
"I207641","15004.25"
"I250128","9602.72"
"I330527","15004.25"
"I777912","5401.53"
"I860056","15004.25"
"I214345","9602.72"
"I163416","9602.72"
"I666418","5401.53"
"I279812","9602.72"
"I257718","9602.72"
"I283479","15004.25"
"I250948","15004.25"
"I236961","9602.72"
"I377708","5401.53"
"I805987","5401.53"
"I108417","9602.72"
"I336156","15004.25"
"I370941","15004.25"
"I289709","9602.72"
"I200623","9602.72"
"I260521","5401.53"
"I167466","9602.72"
"I221706","15004.25"
"I306880","9602.72"
"I125889","15004.25"
"I404350","15004.25"
"I102799","15004.25"
"I802315","5401.53"
"I145145","5401.53"
"I274101","5401.53"
"I197018","15004.25"
"I323403","9602.72"
"I103241","9602.72"
"I118206","15004.25"
"I150658","9602.72"
"I601204","15004.25"
"I555967","9602.72"
"I668327","5401.53"
"I170202","15004.25"
"I103763","15004.25"
"I313680","9602.72"
"I162978","5401.53"
"I764439","5401.53"
"I310978","15004.25"
"I987187","15004.25"
"I201306","5401.53"
"I235321","15004.25"
"I456329","15004.25"
"I326157","15004.25"
"I553606","15004.25"
"I210750","15004.25"
"I139619","5401.53"
"I923307","9602.72"
"I161580","9602.72"
"I323448","15004.25"
"I230256","9602.72"
"I772262","9602.72"
"I176637","15004.25"
"I331568","5401.53"
"I151548","9602.72"
"I335251","9602.72"
"I156725","15004.25"
"I133943","5401.53"
"I200437","9602.72"
"I893867","5401.53"
"I227204","15004.25"
"I819814","9602.72"
"I741983","9602.72"
"I626667","9602.72"
"I851843","15004.25"
"I137096","5401.53"
"I180753","5401.53"
"I122030","9602.72"
"I161385","15004.25"
"I162048","5401.53"
"I305306","15004.25"
"I149544","5401.53"
"I100953","9602.72"
"I185614","9602.72"
"I106621","5401.53"
"I115328","15004.25"
"I194641","9602.72"
"I333647","15004.25"
"I315259","9602.72"
"I211029","9602.72"
"I239264","9602.72"
"I319899","9602.72"
"I600684","15004.25"
"I145761","15004.25"
"I216797","15004.25"
"I203743","5401.53"
"I147418","15004.25"
"I417839","5401.53"
"I120927","9602.72"
"I300531","9602.72"
