"invoice_no","Category","Quantity","Revenue","Payment_method","Shopping_Mall"
"I211823","Clothing",5,"7502","Debit Card","Zorlu Center"
"I240283","Shoes",4,"9602.72","Cash","Metropol AVM"
"I316054","Clothing",5,"7502","Debit Card","Kanyon"
"I186437","Technology",5,"26250","Debit Card","Kanyon"
"I210726","Technology",5,"26250","Cash","Cevahir AVM"
"I695490","Shoes",5,"15004.25","Debit Card","Metrocity"
"I300065","Technology",4,"16800","Cash","Viaport Outlet"
"I259780","Clothing",5,"7502","Cash","Istinye Park"
"I172592","Shoes",3,"5401.53","Cash","Zorlu Center"
"I631073","Shoes",5,"15004.25","Debit Card","Emaar Square Mall"
"I272468","Clothing",5,"7502","Cash","Zorlu Center"
"I316501","Shoes",4,"9602.72","Cash","Mall of Istanbul"
"I105482","Clothing",5,"7502","Cash","Mall of Istanbul"
"I110354","Clothing",5,"7502","Debit Card","Mall of Istanbul"
"I301307","Technology",5,"26250","Debit Card","Mall of Istanbul"
"I287998","Clothing",5,"7502","Debit Card","Forum Istanbul"
"I234239","Shoes",5,"15004.25","Cash","Kanyon"
"I125122","Shoes",4,"9602.72","Cash","Cevahir AVM"
"I264104","Shoes",4,"9602.72","Cash","Istinye Park"
"I854848","Technology",3,"9450","Debit Card","Cevahir AVM"
"I617893","Clothing",5,"7502","Cash","Metrocity"
"I581146","Clothing",5,"7502","Cash","Viaport Outlet"
"I166473","Clothing",5,"7502","Cash","Forum Istanbul"
"I178412","Shoes",5,"15004.25","Debit Card","Metropol AVM"
"I287543","Clothing",5,"7502","Cash","Forum Istanbul"
"I339366","Clothing",5,"7502","Cash","Forum Istanbul"
"I565725","Shoes",3,"5401.53","Cash","Viaport Outlet"
"I168315","Shoes",3,"5401.53","Cash","Mall of Istanbul"
"I168925","Technology",3,"9450","Debit Card","Metrocity"
"I730781","Clothing",5,"7502","Debit Card","Istinye Park"
"I140019","Shoes",4,"9602.72","Cash","Metrocity"
"I299140","Shoes",5,"15004.25","Cash","Metropol AVM"
"I145354","Clothing",5,"7502","Debit Card","Metrocity"
"I184493","Technology",4,"16800","Cash","Mall of Istanbul"
"I245816","Clothing",5,"7502","Debit Card","Emaar Square Mall"
"I145770","Technology",4,"16800","Debit Card","Emaar Square Mall"
"I255891","Technology",5,"26250","Debit Card","Istinye Park"
"I163500","Shoes",5,"15004.25","Debit Card","Kanyon"
"I637087","Clothing",5,"7502","Cash","Kanyon"
"I111221","Clothing",5,"7502","Debit Card","Kanyon"
"I300868","Technology",3,"9450","Cash","Metropol AVM"
"I254078","Shoes",3,"5401.53","Cash","Kanyon"
"I158508","Technology",3,"9450","Cash","Mall of Istanbul"
"I236697","Shoes",3,"5401.53","Cash","Metropol AVM"
"I760012","Shoes",5,"15004.25","Cash","Forum Istanbul"
"I251648","Shoes",3,"5401.53","Cash","Kanyon"
"I328845","Technology",5,"26250","Debit Card","Mall of Istanbul"
"I271715","Clothing",5,"7502","Cash","Metropol AVM"
"I682326","Technology",5,"26250","Cash","Mall of Istanbul"
"I420393","Shoes",4,"9602.72","Debit Card","Metrocity"
"I133290","Clothing",5,"7502","Cash","Metrocity"
"I280022","Clothing",5,"7502","Cash","Zorlu Center"
"I697021","Shoes",5,"15004.25","Cash","Forum Istanbul"
"I158638","Clothing",5,"7502","Cash","Mall of Istanbul"
"I140941","Shoes",3,"5401.53","Cash","Mall of Istanbul"
"I206949","Clothing",5,"7502","Cash","Mall of Istanbul"
"I284561","Clothing",5,"7502","Cash","Istinye Park"
"I310772","Shoes",5,"15004.25","Cash","Istinye Park"
"I227236","Shoes",3,"5401.53","Debit Card","Mall of Istanbul"
"I300240","Clothing",5,"7502","Cash","Mall of Istanbul"
"I282887","Clothing",5,"7502","Cash","Mall of Istanbul"
"I330593","Shoes",5,"15004.25","Cash","Kanyon"
"I716275","Shoes",4,"9602.72","Debit Card","Metropol AVM"
"I281381","Technology",5,"26250","Cash","Viaport Outlet"
"I186312","Clothing",5,"7502","Debit Card","Forum Istanbul"
"I297292","Clothing",5,"7502","Cash","Metropol AVM"
"I682922","Clothing",5,"7502","Cash","Mall of Istanbul"
"I123864","Shoes",3,"5401.53","Cash","Metrocity"
"I255301","Clothing",5,"7502","Cash","Metropol AVM"
"I172473","Clothing",5,"7502","Cash","Metrocity"
"I215573","Clothing",5,"7502","Cash","Cevahir AVM"
"I113812","Shoes",4,"9602.72","Cash","Metrocity"
"I857861","Technology",5,"26250","Cash","Mall of Istanbul"
"I454682","Clothing",5,"7502","Cash","Cevahir AVM"
"I580474","Technology",4,"16800","Debit Card","Zorlu Center"
"I777931","Clothing",5,"7502","Debit Card","Kanyon"
"I223875","Shoes",3,"5401.53","Cash","Emaar Square Mall"
"I276807","Clothing",5,"7502","Cash","Kanyon"
"I120468","Shoes",4,"9602.72","Cash","Kanyon"
"I315253","Clothing",5,"7502","Cash","Kanyon"
"I337132","Clothing",5,"7502","Cash","Istinye Park"
"I329613","Clothing",5,"7502","Debit Card","Mall of Istanbul"
"I294211","Technology",4,"16800","Cash","Mall of Istanbul"
"I492848","Clothing",5,"7502","Cash","Mall of Istanbul"
"I206350","Technology",5,"26250","Cash","Emaar Square Mall"
"I232489","Clothing",5,"7502","Cash","Mall of Istanbul"
"I114843","Shoes",4,"9602.72","Cash","Mall of Istanbul"
"I267759","Technology",4,"16800","Cash","Kanyon"
"I104473","Clothing",5,"7502","Debit Card","Istinye Park"
"I582909","Clothing",5,"7502","Cash","Viaport Outlet"
"I622329","Shoes",3,"5401.53","Debit Card","Mall of Istanbul"
"I118084","Clothing",5,"7502","Cash","Cevahir AVM"
"I953657","Clothing",5,"7502","Debit Card","Kanyon"
"I226372","Shoes",4,"9602.72","Cash","Zorlu Center"
"I237041","Shoes",5,"15004.25","Cash","Metrocity"
"I200558","Technology",5,"26250","Cash","Istinye Park"
"I134446","Technology",5,"26250","Cash","Mall of Istanbul"
"I352477","Clothing",5,"7502","Cash","Kanyon"
"I257456","Technology",3,"9450","Debit Card","Cevahir AVM"
"I237248","Technology",4,"16800","Cash","Mall of Istanbul"
"I129050","Technology",3,"9450","Cash","Metrocity"
"I946492","Technology",3,"9450","Cash","Istinye Park"
"I283725","Shoes",5,"15004.25","Cash","Mall of Istanbul"
"I156748","Shoes",3,"5401.53","Cash","Emaar Square Mall"
"I337611","Shoes",4,"9602.72","Debit Card","Emaar Square Mall"
"I953752","Clothing",5,"7502","Cash","Kanyon"
"I225155","Shoes",5,"15004.25","Cash","Metropol AVM"
"I135969","Clothing",5,"7502","Cash","Zorlu Center"
"I148577","Shoes",5,"15004.25","Cash","Metrocity"
"I428525","Shoes",5,"15004.25","Cash","Kanyon"
"I136331","Clothing",5,"7502","Debit Card","Metrocity"
"I203747","Clothing",5,"7502","Debit Card","Mall of Istanbul"
"I140282","Clothing",5,"7502","Cash","Metropol AVM"
"I572573","Shoes",3,"5401.53","Debit Card","Metropol AVM"
"I341437","Clothing",5,"7502","Debit Card","Viaport Outlet"
"I239588","Shoes",5,"15004.25","Cash","Metrocity"
"I250922","Technology",3,"9450","Debit Card","Kanyon"
"I229333","Clothing",5,"7502","Cash","Istinye Park"
"I468954","Clothing",5,"7502","Debit Card","Viaport Outlet"
"I320668","Clothing",5,"7502","Cash","Metropol AVM"
"I182988","Clothing",5,"7502","Cash","Kanyon"
"I769237","Shoes",5,"15004.25","Cash","Metrocity"
"I257596","Clothing",5,"7502","Cash","Kanyon"
"I315393","Clothing",5,"7502","Debit Card","Mall of Istanbul"
"I296235","Clothing",5,"7502","Debit Card","Mall of Istanbul"
"I145366","Shoes",3,"5401.53","Cash","Kanyon"
"I259713","Clothing",5,"7502","Cash","Mall of Istanbul"
"I274561","Shoes",4,"9602.72","Cash","Kanyon"
"I222560","Clothing",5,"7502","Debit Card","Mall of Istanbul"
"I194729","Shoes",4,"9602.72","Debit Card","Mall of Istanbul"
"I195815","Shoes",5,"15004.25","Debit Card","Forum Istanbul"
"I177680","Shoes",3,"5401.53","Cash","Emaar Square Mall"
"I253195","Shoes",5,"15004.25","Cash","Mall of Istanbul"
"I338817","Shoes",4,"9602.72","Cash","Mall of Istanbul"
"I532109","Clothing",5,"7502","Cash","Mall of Istanbul"
"I328692","Shoes",5,"15004.25","Cash","Mall of Istanbul"
"I317456","Technology",5,"26250","Debit Card","Mall of Istanbul"
"I359051","Clothing",5,"7502","Cash","Kanyon"
"I128088","Shoes",3,"5401.53","Cash","Istinye Park"
"I118405","Shoes",3,"5401.53","Cash","Mall of Istanbul"
"I809166","Shoes",5,"15004.25","Cash","Forum Istanbul"
"I463814","Clothing",5,"7502","Cash","Kanyon"
"I134632","Shoes",3,"5401.53","Debit Card","Metrocity"
"I186508","Shoes",3,"5401.53","Cash","Mall of Istanbul"
"I109901","Shoes",4,"9602.72","Debit Card","Istinye Park"
"I249926","Shoes",4,"9602.72","Cash","Kanyon"
"I617738","Technology",3,"9450","Cash","Mall of Istanbul"
"I337634","Technology",5,"26250","Cash","Mall of Istanbul"
"I214783","Technology",4,"16800","Cash","Istinye Park"
"I109938","Shoes",4,"9602.72","Cash","Metropol AVM"
"I108380","Shoes",3,"5401.53","Cash","Mall of Istanbul"
"I787252","Clothing",5,"7502","Debit Card","Metrocity"
"I289828","Clothing",5,"7502","Cash","Metrocity"
"I210025","Clothing",5,"7502","Debit Card","Metropol AVM"
"I453056","Clothing",5,"7502","Debit Card","Kanyon"
"I271914","Shoes",3,"5401.53","Debit Card","Kanyon"
"I234807","Clothing",5,"7502","Debit Card","Kanyon"
"I318556","Clothing",5,"7502","Cash","Istinye Park"
"I507491","Technology",3,"9450","Cash","Kanyon"
"I241813","Clothing",5,"7502","Cash","Istinye Park"
"I469098","Shoes",4,"9602.72","Debit Card","Metropol AVM"
"I285705","Technology",4,"16800","Cash","Mall of Istanbul"
"I262465","Technology",4,"16800","Debit Card","Istinye Park"
"I200329","Shoes",4,"9602.72","Cash","Metropol AVM"
"I802719","Clothing",5,"7502","Cash","Metropol AVM"
"I244653","Shoes",4,"9602.72","Cash","Kanyon"
"I171167","Clothing",5,"7502","Debit Card","Mall of Istanbul"
"I115916","Shoes",5,"15004.25","Debit Card","Istinye Park"
"I613437","Technology",5,"26250","Cash","Mall of Istanbul"
"I678904","Shoes",4,"9602.72","Cash","Mall of Istanbul"
"I101953","Technology",3,"9450","Cash","Metrocity"
"I193049","Clothing",5,"7502","Cash","Kanyon"
"I266672","Shoes",5,"15004.25","Debit Card","Viaport Outlet"
"I297587","Clothing",5,"7502","Cash","Viaport Outlet"
"I104142","Clothing",5,"7502","Cash","Kanyon"
"I211868","Shoes",5,"15004.25","Cash","Emaar Square Mall"
"I236314","Technology",5,"26250","Cash","Istinye Park"
"I302532","Clothing",5,"7502","Cash","Mall of Istanbul"
"I214625","Shoes",4,"9602.72","Cash","Viaport Outlet"
"I946274","Shoes",5,"15004.25","Cash","Kanyon"
"I246250","Clothing",5,"7502","Cash","Kanyon"
"I255537","Clothing",5,"7502","Cash","Zorlu Center"
"I847315","Shoes",4,"9602.72","Debit Card","Metropol AVM"
"I609226","Technology",3,"9450","Debit Card","Mall of Istanbul"
"I315673","Clothing",5,"7502","Debit Card","Metrocity"
"I144151","Clothing",5,"7502","Debit Card","Viaport Outlet"
"I102268","Shoes",4,"9602.72","Cash","Zorlu Center"
"I160484","Clothing",5,"7502","Cash","Metrocity"
"I151185","Clothing",5,"7502","Cash","Kanyon"
"I318856","Clothing",5,"7502","Cash","Mall of Istanbul"
"I294849","Clothing",5,"7502","Cash","Emaar Square Mall"
"I110843","Clothing",5,"7502","Debit Card","Mall of Istanbul"
"I164233","Clothing",5,"7502","Debit Card","Zorlu Center"
"I305181","Shoes",4,"9602.72","Cash","Cevahir AVM"
"I202792","Clothing",5,"7502","Debit Card","Kanyon"
"I177135","Clothing",5,"7502","Debit Card","Kanyon"
"I504317","Clothing",5,"7502","Cash","Metrocity"
"I303719","Technology",5,"26250","Cash","Cevahir AVM"
"I271043","Clothing",5,"7502","Cash","Mall of Istanbul"
"I133324","Clothing",5,"7502","Cash","Mall of Istanbul"
"I318435","Shoes",4,"9602.72","Debit Card","Metropol AVM"
"I241694","Shoes",4,"9602.72","Cash","Metrocity"
"I245312","Shoes",4,"9602.72","Cash","Metropol AVM"
"I762885","Shoes",3,"5401.53","Debit Card","Mall of Istanbul"
"I136569","Clothing",5,"7502","Cash","Metrocity"
"I969507","Shoes",3,"5401.53","Cash","Forum Istanbul"
"I115757","Clothing",5,"7502","Cash","Mall of Istanbul"
"I169002","Shoes",5,"15004.25","Cash","Metropol AVM"
"I111807","Shoes",5,"15004.25","Debit Card","Zorlu Center"
"I102737","Technology",3,"9450","Cash","Mall of Istanbul"
"I937305","Technology",3,"9450","Debit Card","Metrocity"
"I299435","Clothing",5,"7502","Debit Card","Zorlu Center"
"I624089","Clothing",5,"7502","Debit Card","Istinye Park"
"I314713","Shoes",4,"9602.72","Debit Card","Viaport Outlet"
"I264685","Technology",4,"16800","Debit Card","Kanyon"
"I549259","Shoes",5,"15004.25","Cash","Metrocity"
"I285823","Shoes",5,"15004.25","Cash","Zorlu Center"
"I289270","Clothing",5,"7502","Cash","Viaport Outlet"
"I169264","Shoes",3,"5401.53","Debit Card","Metropol AVM"
"I185018","Shoes",5,"15004.25","Cash","Mall of Istanbul"
"I302268","Clothing",5,"7502","Debit Card","Forum Istanbul"
"I137289","Technology",3,"9450","Cash","Metrocity"
"I179419","Shoes",5,"15004.25","Cash","Istinye Park"
"I157847","Technology",3,"9450","Cash","Metrocity"
"I215654","Clothing",5,"7502","Cash","Metrocity"
"I292056","Shoes",3,"5401.53","Cash","Istinye Park"
"I784128","Shoes",3,"5401.53","Cash","Kanyon"
"I193229","Clothing",5,"7502","Cash","Cevahir AVM"
"I932061","Shoes",4,"9602.72","Debit Card","Metrocity"
"I195001","Clothing",5,"7502","Cash","Istinye Park"
"I119195","Technology",3,"9450","Cash","Kanyon"
"I339038","Shoes",3,"5401.53","Debit Card","Forum Istanbul"
"I296659","Shoes",4,"9602.72","Cash","Kanyon"
"I282013","Clothing",5,"7502","Cash","Emaar Square Mall"
"I261639","Shoes",5,"15004.25","Cash","Istinye Park"
"I959479","Clothing",5,"7502","Debit Card","Kanyon"
"I327472","Clothing",5,"7502","Cash","Mall of Istanbul"
"I133422","Clothing",5,"7502","Debit Card","Metrocity"
"I240747","Clothing",5,"7502","Debit Card","Metrocity"
"I338406","Technology",5,"26250","Cash","Forum Istanbul"
"I448426","Clothing",5,"7502","Debit Card","Metrocity"
"I108695","Shoes",5,"15004.25","Debit Card","Emaar Square Mall"
"I292155","Clothing",5,"7502","Cash","Mall of Istanbul"
"I541028","Shoes",4,"9602.72","Cash","Istinye Park"
"I257267","Clothing",5,"7502","Debit Card","Mall of Istanbul"
"I410605","Shoes",4,"9602.72","Cash","Istinye Park"
"I956680","Clothing",5,"7502","Cash","Mall of Istanbul"
"I304108","Shoes",3,"5401.53","Debit Card","Metrocity"
"I249520","Clothing",5,"7502","Debit Card","Kanyon"
"I775499","Technology",4,"16800","Cash","Kanyon"
"I319827","Shoes",4,"9602.72","Debit Card","Istinye Park"
"I124096","Clothing",5,"7502","Cash","Mall of Istanbul"
"I317585","Clothing",5,"7502","Cash","Kanyon"
"I181474","Clothing",5,"7502","Debit Card","Mall of Istanbul"
"I297717","Technology",4,"16800","Cash","Mall of Istanbul"
"I284850","Shoes",4,"9602.72","Debit Card","Istinye Park"
"I588414","Shoes",3,"5401.53","Cash","Metropol AVM"
"I178019","Shoes",4,"9602.72","Debit Card","Mall of Istanbul"
"I231832","Shoes",5,"15004.25","Cash","Viaport Outlet"
"I714753","Shoes",5,"15004.25","Cash","Metropol AVM"
"I145220","Shoes",3,"5401.53","Debit Card","Metrocity"
"I314064","Shoes",4,"9602.72","Cash","Mall of Istanbul"
"I519596","Clothing",5,"7502","Cash","Metropol AVM"
"I638751","Shoes",5,"15004.25","Cash","Mall of Istanbul"
"I178721","Shoes",5,"15004.25","Debit Card","Forum Istanbul"
"I901575","Shoes",3,"5401.53","Cash","Kanyon"
"I332144","Clothing",5,"7502","Cash","Metropol AVM"
"I103006","Technology",4,"16800","Cash","Cevahir AVM"
"I482255","Technology",5,"26250","Cash","Mall of Istanbul"
"I229482","Clothing",5,"7502","Debit Card","Metropol AVM"
"I313021","Clothing",5,"7502","Cash","Kanyon"
"I298037","Clothing",5,"7502","Debit Card","Metrocity"
"I324609","Shoes",4,"9602.72","Cash","Kanyon"
"I125963","Clothing",5,"7502","Cash","Mall of Istanbul"
"I338238","Shoes",5,"15004.25","Cash","Metropol AVM"
"I121484","Shoes",4,"9602.72","Debit Card","Mall of Istanbul"
"I258945","Clothing",5,"7502","Cash","Mall of Istanbul"
"I266158","Clothing",5,"7502","Cash","Forum Istanbul"
"I297665","Shoes",3,"5401.53","Cash","Metropol AVM"
"I126551","Clothing",5,"7502","Debit Card","Mall of Istanbul"
"I664233","Shoes",5,"15004.25","Cash","Mall of Istanbul"
"I279761","Technology",4,"16800","Cash","Mall of Istanbul"
"I209629","Clothing",5,"7502","Cash","Metrocity"
"I938973","Clothing",5,"7502","Cash","Mall of Istanbul"
"I258827","Technology",5,"26250","Cash","Metrocity"
"I181683","Shoes",3,"5401.53","Debit Card","Mall of Istanbul"
"I629119","Clothing",5,"7502","Cash","Metropol AVM"
"I162614","Shoes",5,"15004.25","Debit Card","Zorlu Center"
"I221816","Technology",4,"16800","Debit Card","Metrocity"
"I182240","Clothing",5,"7502","Cash","Zorlu Center"
"I281916","Shoes",4,"9602.72","Cash","Metrocity"
"I871521","Shoes",4,"9602.72","Cash","Mall of Istanbul"
"I713117","Shoes",3,"5401.53","Cash","Kanyon"
"I141384","Technology",4,"16800","Cash","Kanyon"
"I134817","Clothing",5,"7502","Cash","Kanyon"
"I877397","Shoes",5,"15004.25","Cash","Kanyon"
"I286200","Shoes",4,"9602.72","Cash","Zorlu Center"
"I217840","Shoes",5,"15004.25","Debit Card","Viaport Outlet"
"I264690","Clothing",5,"7502","Cash","Metrocity"
"I133545","Shoes",3,"5401.53","Cash","Metropol AVM"
"I245213","Clothing",5,"7502","Debit Card","Mall of Istanbul"
"I194375","Clothing",5,"7502","Cash","Cevahir AVM"
"I278742","Clothing",5,"7502","Debit Card","Zorlu Center"
"I705586","Clothing",5,"7502","Debit Card","Metrocity"
"I237671","Clothing",5,"7502","Debit Card","Forum Istanbul"
"I186443","Clothing",5,"7502","Debit Card","Kanyon"
"I281349","Technology",4,"16800","Cash","Metropol AVM"
"I433335","Shoes",3,"5401.53","Cash","Forum Istanbul"
"I277150","Clothing",5,"7502","Cash","Metrocity"
"I220787","Clothing",5,"7502","Cash","Mall of Istanbul"
"I305859","Clothing",5,"7502","Debit Card","Kanyon"
"I297915","Shoes",4,"9602.72","Cash","Cevahir AVM"
"I263207","Shoes",5,"15004.25","Debit Card","Mall of Istanbul"
"I260507","Clothing",5,"7502","Cash","Mall of Istanbul"
"I233226","Shoes",4,"9602.72","Cash","Istinye Park"
"I178419","Shoes",3,"5401.53","Debit Card","Istinye Park"
"I296071","Clothing",5,"7502","Cash","Mall of Istanbul"
"I296899","Shoes",5,"15004.25","Debit Card","Kanyon"
"I231445","Clothing",5,"7502","Cash","Metropol AVM"
"I253375","Shoes",5,"15004.25","Cash","Metrocity"
"I218263","Technology",5,"26250","Cash","Istinye Park"
"I311770","Shoes",5,"15004.25","Cash","Cevahir AVM"
"I128418","Technology",5,"26250","Cash","Metrocity"
"I337570","Clothing",5,"7502","Debit Card","Istinye Park"
"I332242","Technology",3,"9450","Cash","Zorlu Center"
"I216045","Shoes",4,"9602.72","Cash","Metropol AVM"
"I825913","Clothing",5,"7502","Debit Card","Mall of Istanbul"
"I221631","Clothing",5,"7502","Debit Card","Metropol AVM"
"I826511","Shoes",4,"9602.72","Cash","Forum Istanbul"
"I326773","Clothing",5,"7502","Cash","Kanyon"
"I471551","Clothing",5,"7502","Cash","Emaar Square Mall"
"I334902","Shoes",4,"9602.72","Cash","Istinye Park"
"I979153","Technology",4,"16800","Cash","Kanyon"
"I228747","Shoes",4,"9602.72","Cash","Forum Istanbul"
"I884632","Shoes",3,"5401.53","Cash","Kanyon"
"I740145","Clothing",5,"7502","Debit Card","Istinye Park"
"I172702","Clothing",5,"7502","Cash","Viaport Outlet"
"I125627","Shoes",3,"5401.53","Cash","Metropol AVM"
"I157119","Clothing",5,"7502","Cash","Kanyon"
"I907229","Technology",3,"9450","Cash","Forum Istanbul"
"I290993","Shoes",4,"9602.72","Debit Card","Kanyon"
"I338384","Technology",5,"26250","Cash","Kanyon"
"I335541","Shoes",3,"5401.53","Cash","Kanyon"
"I152217","Shoes",4,"9602.72","Cash","Kanyon"
"I135567","Clothing",5,"7502","Cash","Metropol AVM"
"I165991","Technology",5,"26250","Cash","Istinye Park"
"I110630","Shoes",4,"9602.72","Debit Card","Kanyon"
"I225623","Clothing",5,"7502","Cash","Kanyon"
"I145018","Technology",4,"16800","Cash","Kanyon"
"I163839","Shoes",3,"5401.53","Debit Card","Kanyon"
"I699421","Clothing",5,"7502","Cash","Cevahir AVM"
"I224714","Clothing",5,"7502","Cash","Metropol AVM"
"I182849","Clothing",5,"7502","Cash","Mall of Istanbul"
"I335366","Clothing",5,"7502","Debit Card","Kanyon"
"I128997","Technology",5,"26250","Debit Card","Istinye Park"
"I858594","Clothing",5,"7502","Debit Card","Metrocity"
"I800106","Clothing",5,"7502","Debit Card","Metrocity"
"I317462","Clothing",5,"7502","Cash","Metrocity"
"I159530","Clothing",5,"7502","Cash","Forum Istanbul"
"I289041","Technology",5,"26250","Debit Card","Metropol AVM"
"I291725","Shoes",5,"15004.25","Debit Card","Metropol AVM"
"I199887","Shoes",4,"9602.72","Debit Card","Emaar Square Mall"
"I167371","Shoes",5,"15004.25","Cash","Mall of Istanbul"
"I165675","Shoes",3,"5401.53","Cash","Kanyon"
"I153466","Clothing",5,"7502","Cash","Emaar Square Mall"
"I322768","Clothing",5,"7502","Cash","Forum Istanbul"
"I236755","Shoes",4,"9602.72","Debit Card","Metropol AVM"
"I263074","Shoes",3,"5401.53","Debit Card","Kanyon"
"I174886","Clothing",5,"7502","Debit Card","Mall of Istanbul"
"I109218","Shoes",4,"9602.72","Cash","Kanyon"
